proveedor,id_proveedor
Agricultura Inteligente TechCultivos,1
Semillero Genético BioCampo,2
Pesca Sustentable Oceanica,3
Carnes Sostenibles CampoReal,4
Silos y Almacenes AgroVault,5
Veterinaria EcoAnimal,6
Agronutrientes del Futuro,7
BioCosecha Orgánica,8
Pecuaria Moderna Alcaraz,9
Avícola San José,10
Fertilizantes Naturales del Valle,11
Herramientas Agroindustriales Gómez,12
AgroEnvases Sostenibles,13
AgroSoftware Soluciones,14
Semillas Innovadoras S.A.,15
Ganadería Orgánica TierraFértil,16
Cultivos Hidropónicos Innovagro,17
AgroQuímicos Naturales BioCultivos,18
EcoFungicidas Morales,19
RiegoSmart Innovación,20
Energía Renovable AgroSol,21
Tecnosembradoras del Sur,22
Apícola EcoMiel,23
Insecticidas Ecológicos Reyes,24
Productos Lácteos EcoLeche,25
Agrícola Solaris Energía,26
Vivero Verde Esperanza,27
Cosechadoras Progresivas SA,28
Maquinaria Agrícola Avanzada,29
AgroSuministros del Campo,30
Tractores Eficientes Delgado,31
Mallas AgroProtección García,32
EcoRiego Soluciones,33
Reforestación Ecológica VerdeVida,34
Fitosanitarios BioPro,35
